date,cases
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,3
2020-03-07,3
2020-03-08,6
2020-03-09,15
2020-03-10,24
2020-03-11,46
2020-03-12,96
2020-03-13,183
2020-03-14,274
2020-03-15,419
2020-03-16,714
2020-03-17,1055
2020-03-18,1458
2020-03-19,1937
2020-03-20,2422
2020-03-21,2708
2020-03-22,2929
2020-03-23,3138
2020-03-24,3431
2020-03-25,3705
2020-03-26,3902
2020-03-27,4067
2020-03-28,4193
2020-03-29,4342
2020-03-30,4718
2020-03-31,4867
2020-04-01,4961
2020-04-02,5081
2020-04-03,5179
2020-04-04,5255
2020-04-05,5303
2020-04-06,5357
2020-04-07,5461
2020-04-08,5494
2020-04-09,5402
2020-04-10,5240
2020-04-11,5219
2020-04-12,5091
2020-04-13,4651
2020-04-14,4368
2020-04-15,4112
2020-04-16,3883
2020-04-17,3736
2020-04-18,3504
2020-04-19,3415
2020-04-20,3469
2020-04-21,3307
2020-04-22,3241
2020-04-23,3134
2020-04-24,2979
2020-04-25,2887
2020-04-26,2690
2020-04-27,2469
2020-04-28,2411
2020-04-29,2246
2020-04-30,2121
2020-05-01,2026
2020-05-02,1946
2020-05-03,1912
2020-05-04,1804
2020-05-05,1628
2020-05-06,1492
2020-05-07,1378
2020-05-08,1260
2020-05-09,1199
2020-05-10,1149
2020-05-11,1100
2020-05-12,1068
2020-05-13,1056
2020-05-14,1037
2020-05-15,1006
2020-05-16,982
2020-05-17,968
2020-05-18,919
2020-05-19,878
2020-05-20,841
2020-05-21,833
2020-05-22,857
2020-05-23,851
2020-05-24,865
2020-05-25,803
2020-05-26,810
2020-05-27,762
2020-05-28,701
2020-05-29,644
2020-05-30,629
2020-05-31,595
2020-06-01,627
2020-06-02,559
2020-06-03,527
2020-06-04,509
2020-06-05,476
2020-06-06,462
2020-06-07,458
2020-06-08,425
2020-06-09,404
2020-06-10,384
2020-06-11,363
2020-06-12,365
2020-06-13,358
2020-06-14,356
2020-06-15,346
2020-06-16,347
2020-06-17,345
2020-06-18,345
2020-06-19,339
2020-06-20,341
2020-06-21,340
2020-06-22,342
2020-06-23,336
2020-06-24,340
2020-06-25,329
2020-06-26,322
2020-06-27,322
2020-06-28,326
2020-06-29,333
2020-06-30,342
2020-07-01,345
2020-07-02,362
2020-07-03,349
2020-07-04,337
2020-07-05,329
2020-07-06,328
2020-07-07,332
2020-07-08,338
2020-07-09,335
2020-07-10,346
2020-07-11,367
2020-07-12,377
2020-07-13,384
2020-07-14,375
2020-07-15,376
2020-07-16,379
2020-07-17,394
2020-07-18,389
2020-07-19,384
2020-07-20,373
2020-07-21,364
2020-07-22,348
2020-07-23,332
2020-07-24,316
2020-07-25,306
2020-07-26,299
2020-07-27,285
2020-07-28,281
2020-07-29,276
2020-07-30,271
2020-07-31,266
2020-08-01,271
2020-08-02,269
2020-08-03,276
2020-08-04,258
2020-08-05,259
2020-08-06,262
2020-08-07,261
2020-08-08,259
