date,cases
2022-11-19,2481
2022-11-20,2484
2022-11-21,2490
2022-11-22,2527
2022-11-23,2599
2022-11-24,2427
2022-11-25,2539
2022-11-26,2692
2022-11-27,2749
2022-11-28,3047
2022-11-29,3256
2022-11-30,3319
2022-12-01,3590
2022-12-02,3625
